Put -5, 7, 4, 29, 9, 3, 40, -2, 5 in decreasing order.
40, 29, 9, 7, 5, 4, 3, -2, -5
Sort -68, 6, 2, 33, 3, 25, 1, -5, 4.
-68, -5, 1, 2, 3, 4, 6, 25, 33
Sort 84, 5, 17, 0, -2, 4, 7, 3, 85 in increasing order.
-2, 0, 3, 4, 5, 7, 17, 84, 85
Sort 7, 18, -1, 973, 9, 5, 2, 1, 0.
-1, 0, 1, 2, 5, 7, 9, 18, 973
Sort 2, 3, -5, 1, 4, -2, -4, -1, 78 in decreasing order.
78, 4, 3, 2, 1, -1, -2, -4, -5
Sort -5, 0, 70, 68, -33, 3, 2, 4, 7.
-33, -5, 0, 2, 3, 4, 7, 68, 70
Put 99, 6, 2, -3, 3, -5, 4, 15, -6 in descending order.
99, 15, 6, 4, 3, 2, -3, -5, -6
Sort 3, 2, 169, 4, 0, -9, 9, -5, -3 in increasing order.
-9, -5, -3, 0, 2, 3, 4, 9, 169
Sort 1, 2, -6, -4, 0, 21, 6, 97, 18.
-6, -4, 0, 1, 2, 6, 18, 21, 97
Sort -4, -45, 1, -5, 4, 0, 8, 86, 5 in increasing order.
-45, -5, -4, 0, 1, 4, 5, 8, 86
Sort 98, 2, -3, 7, -2, -52, 9, 1, 0 in descending order.
98, 9, 7, 2, 1, 0, -2, -3, -52
Put 5, 25, -950, 4, -1, 3, 2, 7, 0 in increasing order.
-950, -1, 0, 2, 3, 4, 5, 7, 25
Put -9, -5, 9, 7, 6, 2, 0, 292, 1 in ascending order.
-9, -5, 0, 1, 2, 6, 7, 9, 292
Put 4, -3, 5, -2, 2, 0, 3, 6, 40 in descending order.
40, 6, 5, 4, 3, 2, 0, -2, -3
Sort -4, 1, 8, 5, 15, 2, 0, 43, -12 in ascending order.
-12, -4, 0, 1, 2, 5, 8, 15, 43
Put 25, 4, 0, 5, 7, -5, 9, 1, 29 in descending order.
29, 25, 9, 7, 5, 4, 1, 0, -5
Sort -6, 516, 4, 2, 1, -2, -1, 6, 5.
-6, -2, -1, 1, 2, 4, 5, 6, 516
Put 0, 789, 4, 3, 1, -2, 9, 278, 2 in decreasing order.
