Sort -3, 8, 32, 6, 5, -95, 3, 1, -2 in increasing order.
-95, -3, -2, 1, 3, 5, 6, 8, 32
Put -2, 0, 1, 68, 4, 44, -3, 6, 71 in descending order.
71, 68, 44, 6, 4, 1, 0, -2, -3
Sort -2, -1, 1, 0, -3, 7, 98, 5, -5.
-5, -3, -2, -1, 0, 1, 5, 7, 98
Sort 2, -3, 6, 5, 4, 215, 8, 3, -12 in decreasing order.
215, 8, 6, 5, 4, 3, 2, -3, -12
Sort 8, 14, 2, -1, -23, 1, -4, 7, 0 in ascending order.
-23, -4, -1, 0, 1, 2, 7, 8, 14
Put 65, -3, 0, 2, 5, 9, -14, 8, -9 in decreasing order.
65, 9, 8, 5, 2, 0, -3, -9, -14
Sort 3, -2, 4, 19, 25, 55, 7, -3, 2 in descending order.
55, 25, 19, 7, 4, 3, 2, -2, -3
Put -8, 13, 34, 2, 20, 1, 4, -3, 3 in ascending order.
-8, -3, 1, 2, 3, 4, 13, 20, 34
Sort 32, 1, 2, 4, -5, 9, -7, 3, 129 in ascending order.
-7, -5, 1, 2, 3, 4, 9, 32, 129
Sort 5, -2, 48, 1, 14, -69, 4, 9, 2 in descending order.
48, 14, 9, 5, 4, 2, 1, -2, -69
Put 4, 87, 0, 1, 2, -4, 342, -1, 3 in increasing order.
-4, -1, 0, 1, 2, 3, 4, 87, 342
Sort 257, 1, -1, 2, 3, 12, 42, 8, 4 in increasing order.
-1, 1, 2, 3, 4, 8, 12, 42, 257
Sort 23, -15, 5, 2, 9, 0, 3, -1, -8 in increasing order.
-15, -8, -1, 0, 2, 3, 5, 9, 23
Sort 4, -5, -9, -49, 6, 39, 1, 0, 7 in descending order.
39, 7, 6, 4, 1, 0, -5, -9, -49
Sort 8, -82, 3, -1, 9, 0, -5, 20, 6.
-82, -5, -1, 0, 3, 6, 8, 9, 20
Put 3, -34, 35, 10, -1, 8, 2, 0, 5 in increasing order.
-34, -1, 0, 2, 3, 5, 8, 10, 35
Sort 24, 0, 7, 10, 3, 271, -2, 5, 6 in decreasing order.
271, 24, 10, 7, 6, 5, 3, 0, -2
Sort 2, 1, 3, -3, 13, 324, 5, 10, 4 in ascending order.
-3, 1, 2, 3, 4, 5, 10, 13, 324
Sort 7, -2, -4, 4, 5, 0, -29, 12, 1 in descending order.
12, 7, 5, 4, 1, 0, -2, -4, -29
Put -8, -3, 3, 76, 2, 5, -11, 0, 6 in descending order.
76, 6, 5, 3, 2, 0, -3, -8, -11
Put 80, 7, 0, -5, 1, 9, -31, 3, 6 in ascending order.
-31, -5, 0, 1, 3, 6, 7, 9, 80
Sort -5, 22, 5, -4, -2, -7, 8, 0, 2 in ascending order.
-7, -5, -4, -2, 0, 2, 5, 8, 22
Sort 18, 1, -4, 29, 2, 5, 14, 8, 0 in ascending order.
-4, 0, 1, 2, 5, 8, 14, 18, 29
Sort 26, 0, 7, -51, 4, 2, 9, -3, -1 in decreasing order.
26, 9, 7, 4, 2, 0, -1, -3, -51
Put 4, -8, 7, 1, 8, 5, 49, -2, -14 in descending order.
49, 8, 7, 5, 4, 1, -2, -8, -14
Sort 1, 19, 5, 15, 0, 39, 6, -2, -9 in increasing order.
-9, -2, 0, 1, 5, 6, 15, 19, 39
Sort -6, 5, 1, 4, 696, 50, 29, 0, 3.
-6, 0, 1, 3, 4, 5, 29, 50, 696
Put 6, 3, 7, 14, 2, 31, 0, -634, 5 in descending order.
31, 14, 7, 6, 5, 3, 2, 0, -634
Put 3, -1, 45, 0, 5, 2, -3, 9, -2 in decreasing order.
45, 9, 5, 3, 2, 0, -1, -2, -3
Put 3, 2, 5, -2, 1, 8, -798, 19, 7 in ascending order.
-798, -2, 1, 2, 3, 5, 7, 8, 19
Put 0, 7, 414, 194, 2, 4, 1, -5, 9 in ascending order.
-5, 0, 1, 2, 4, 7, 9, 194, 414
Put 118, -3, 0, 4, 1, 3, 18, 6, 16 in ascending order.
-3, 0, 1, 3, 4, 6, 16, 18, 118
Sort 1, 11, 5, -6, -14, 2, 7, 3, 46 in decreasing order.
46, 11, 7, 5, 3, 2, 1, -6, -14
Put 6, -8, 5, 1, -4, 0, -3, -18, 2 in decreasing order.
6, 5, 2, 1, 0, -3, -4, -8, -18
Put -5, 8, 5, 1, 2, 3, 1898, 24, 7 in ascending order.
-5, 1, 2, 3, 5, 7, 8, 24, 1898
Sort 57, -2, 6, -4, -7, 9, 8, -5, 0 in descending order.
57, 9, 8, 6, 0, -2, -4, -5, -7
Sort -1, 5, -6, 6, 8, 2, 9, -56, 61 in descending order.
61, 9, 8, 6, 5, 2, -1, -6, -56
Sort 4, 441, 71, 9, 0, 5, -3, 3, -4 in increasing order.
-4, -3, 0, 3, 4, 5, 9, 71, 441
Sort 1220, 2, 3, -2, 9, 5, 13, 0, 8 in descending order.
1220, 13, 9, 8, 5, 3, 2, 0, -2
Sort 2, 6, -3, 7, 36, 4, -8, -13, 1 in decreasing order.
36, 7, 6, 4, 2, 1, -3, -8, -13
Sort 4, 7, 805, -3, 3, 0, 1, -1, 27.
-3, -1, 0, 1, 3, 4, 7, 27, 805
Put 5, -5, -7, 4, -24, 11, 2, 3, 0 in descending order.
11, 5, 4, 3, 2, 0, -5, -7, -24
Put 5, 0, 2, -86, -3, -1, 3, 47, 1 in descending order.
47, 5, 3, 2, 1, 0, -1, -3, -86
Put 0, 1, -5, 26, 5, 91, -12, 7, 3 in decreasing order.
91, 26, 7, 5, 3, 1, 0, -5, -12
Put 5, -3, 8, 13, 0, -4, -52, 1, 2 in decreasing order.
13, 8, 5, 2, 1, 0, -3, -4, -52
Put 67, -7, 27, 17, 1, 4, 7, -8, 2 in decreasing order.
67, 27, 17, 7, 4, 2, 1, -7, -8
Put -2, 9, 7, 492, 5, -3, 4, 8, 3 in ascending order.
-3, -2, 3, 4, 5, 7, 8, 9, 492
Sort -29, 5, 6, 1, 4, -1, -2, -5, 3 in descending order.
6, 5, 4, 3, 1, -1, -2, -5, -29
Put 10, 51, 1, 5, 85, 4, 2, 13, -4 in increasing order.
-4, 1, 2, 4, 5, 10, 13, 51, 85
Put 2, -6, 4, 69, 24, -8, -1, 0, 1 in ascending order.
-8, -6, -1, 0, 1, 2, 4, 24, 69
Put 3, 4, 1, 8, -1, 5, -21, 650, 2 in decreasing order.
650, 8, 5, 4, 3, 2, 1, -1, -21
Sort -8, 1, 84, -6, 5, 0, 8, 99, -4.
-8, -6, -4, 0, 1, 5, 8, 84, 99
Put 0, 6, 31, 1, -9, -4, 5, -2, 83 in decreasing order.
83, 31, 6, 5, 1, 0, -2, -4, -9
Sort 4, 41, -3, 2, 12, 9, 6, 30, -1.
-3, -1, 2, 4, 6, 9, 12, 30, 41
Put 1, 5, 25, 4, -2, 3, -7, -3, -1 in increasing order.
-7, -3, -2, -1, 1, 3, 4, 5, 25
Put -5, 6, -77, 4, 5, 3, -7, -2, 2 in ascending order.
-77, -7, -5, -2, 2, 3, 4, 5, 6
Put 46, -11, 3, 2, 1, 31, -2, 5, 0 in ascending order.
-11, -2, 0, 1, 2, 3, 5, 31, 46
Sort 15, 5, 4, 2, 1, -6, -2, 3, 14 in decreasing order.
15, 14, 5, 4, 3, 2, 1, -2, -6
Sort 7, 4, 3, -2, -1, 2, 10, 11, 71 in ascending order.
-2, -1, 2, 3, 4, 7, 10, 11, 71
Sort 5, 30, 3, 12, 25, 8, 2, 143, 4.
2, 3, 4, 5, 8, 12, 25, 30, 143
Sort -61, 3, 14, 1, 7, 4, -12, 0, 6.
-61, -12, 0, 1, 3, 4, 6, 7, 14
Sort 3, 114, 7, 1, 5, 0, -17, 4, 2 in descending order.
114, 7, 5, 4, 3, 2, 1, 0, -17
Put 3, 4, 70, 5, 16, -9, 1, 6, 19 in increasing order.
-9, 1, 3, 4, 5, 6, 16, 19, 70
Put 85, -3, 3, -5, 19, 4, 0, 5, 58 in increasing order.
-5, -3, 0, 3, 4, 5, 19, 58, 85
Put 127, 48, 0, 2, 1, 4, -8, 3, -2 in descending order.
127, 48, 4, 3, 2, 1, 0, -2, -8
Sort 1, -57, 47, 5, 4, 2, 83, -8, 3.
-57, -8, 1, 2, 3, 4, 5, 47, 83
Put -3, 4, 13, 5, -6, 27, 2, 3, 1 in decreasing order.
27, 13, 5, 4, 3, 2, 1, -3, -6
Put 0, -15, 1, 35, 4, -6, 5, 6, -3 in descending order.
35, 6, 5, 4, 1, 0, -3, -6, -15
Put -2, 52, 1, 7, 3, 5, -5, 11, 39 in ascending order.
-5, -2, 1, 3, 5, 7, 11, 39, 52
Put 40, 10, 3, 0, 68, 7, 1, -3, 2 in increasing order.
-3, 0, 1, 2, 3, 7, 10, 40, 68
